"","citrus.fruit","semi.finished.bread","margarine","ready.soups"
"4656","specialty cheese","chewing gum","",""
"4657","pork","root vegetables","onions","bottled water"
"4658","soda","","",""
"4659","citrus fruit","tropical fruit","root vegetables","other vegetables"
"4660","whole milk","yogurt","sliced cheese","hard cheese"
"4661","specialty cheese","dog food","bottled water","newspapers"
"4662","bottled beer","white wine","",""
"4663","other vegetables","butter milk","rolls/buns","oil"
"4664","bottled water","fruit/vegetable juice","softener","dishes"
"4665","frankfurter","beef","pip fruit","whole milk"
"4666","yogurt","whipped/sour cream","cream cheese ","frozen vegetables"
"4667","flour","margarine","canned vegetables","pickled vegetables"
"4668","coffee","bottled water","soda","misc. beverages"
"4669","fruit/vegetable juice","salty snack","waffles","pot plants"
"4670","canned beer","","",""
"4671","citrus fruit","tropical fruit","dessert","condensed milk"
"4672","margarine","","",""
"4673","other vegetables","white bread","",""
"4674","citrus fruit","root vegetables","other vegetables","whole milk"
"4675","whipped/sour cream","soft cheese","frozen vegetables","white bread"
"4676","flour","margarine","baking powder","waffles"
"4677","hygiene articles","","",""
"4678","whole milk","cream cheese ","salty snack","candy"
"4679","soda","fruit/vegetable juice","cake bar","candy"
"4680","candles","","",""
"4681","other vegetables","","",""
"4682","pip fruit","","",""
"4683","canned beer","","",""
"4684","tropical fruit","other vegetables","whole milk","curd"
"4685","butter milk","yogurt","whipped/sour cream","cream cheese "
"4686","rolls/buns","pastry","",""
"4687","root vegetables","onions","other vegetables","frozen fruits"
"4688","canned beer","","",""
"4689","other vegetables","whole milk","yogurt","rolls/buns"
"4690","newspapers","","",""
"4691","root vegetables","other vegetables","yogurt","rolls/buns"
"4692","flour","","",""
"4693","bottled water","","",""
"4694","whole milk","","",""
"4695","root vegetables","whole milk","roll products ",""
"4696","tropical fruit","pip fruit","other vegetables","frozen vegetables"
"4697","ice cream","brown bread","pastry","flour"
"4698","pickled vegetables","coffee","soda","misc. beverages"
"4699","fruit/vegetable juice","","",""
"4700","butter","curd","dessert","cream cheese "
"4701","canned beer","candy","shopping bags",""
"4702","flower soil/fertilizer","","",""
"4703","pasta","soda","snack products","cake bar"
"4704","other vegetables","dessert","candy","abrasive cleaner"
"4705","dishes","cling film/bags","candles",""
"4706","other vegetables","curd","yogurt","UHT-milk"
"4707","brown bread","bottled water","newspapers","shopping bags"
"4708","beef","","",""
"4709","root vegetables","","",""
"4710","whole milk","frozen vegetables","coffee",""
"4711","pork","root vegetables","other vegetables","whole milk"
"4712","butter","whipped/sour cream","processed cheese","domestic eggs"
"4713","rolls/buns","white bread","pastry","jam"
"4714","soda","waffles","candy","napkins"
"4715","beef","other vegetables","",""
"4716","specialty bar","","",""
"4717","salty snack","","",""
"4718","sausage","ham","grapes","other vegetables"
"4719","bottled water","misc. beverages","brandy","shopping bags"
"4720","tropical fruit","frozen meals","rolls/buns","bottled beer"
"4721","newspapers","","",""
"4722","canned beer","","",""
"4723","pip fruit","grapes","whole milk","yogurt"
"4724","spread cheese","brown bread","semi-finished bread","rice"
"4725","pickled vegetables","bottled beer","newspapers","pot plants"
"4726","turkey","","",""
"4727","other vegetables","","",""
"4728","sausage","beef","citrus fruit","tropical fruit"
"4729","nuts/prunes","root vegetables","other vegetables","whole milk"
"4730","mayonnaise","oil","baking powder","pickled vegetables"
"4731","chocolate","newspapers","",""
"4732","frankfurter","pip fruit","nuts/prunes","onions"
"4733","specialty cheese","brown bread","soda","fruit/vegetable juice"
"4734","salty snack","chocolate","male cosmetics","shopping bags"
"4735","citrus fruit","whole milk","soft cheese","rice"
"4736","margarine","sugar","soups","bottled water"
"4737","chicken","pork","frozen vegetables","soda"
"4738","citrus fruit","tropical fruit","other vegetables","whole milk"
"4739","butter","yogurt","whipped/sour cream","soft cheese"
"4740","sliced cheese","hard cheese","roll products ","margarine"
"4741","soda","misc. beverages","fruit/vegetable juice","chocolate"
"4742","newspapers","","",""
"4743","flour","sugar","cat food","misc. beverages"
"4744","waffles","","",""
"4745","baking powder","","",""
"4746","finished products","tropical fruit","pip fruit","other vegetables"
"4747","whole milk","frozen fish","pastry","canned fish"
"4748","seasonal products","dental care","hygiene articles","pot plants"
"4749","frankfurter","rolls/buns","margarine","soda"
"4750","chicken","curd","UHT-milk","cream cheese "
"4751","margarine","coffee","salty snack","waffles"
"4752","dishes","","",""
"4753","chicken","other vegetables","whole milk","domestic eggs"
"4754","oil","margarine","sugar","coffee"
"4755","bottled beer","specialty bar","candy",""
"4756","sausage","beef","whole milk","pastry"
"4757","beef","other vegetables","margarine","soda"
"4758","whole milk","frozen meals","specialty chocolate",""
"4759","sausage","other vegetables","",""
"4760","other vegetables","pot plants","",""
"4761","onions","roll products ","",""
"4762","sausage","root vegetables","onions","herbs"
"4763","other vegetables","UHT-milk","hard cheese","cream cheese "
"4764","frozen vegetables","rolls/buns","bottled water","soda"
"4765","bottled beer","red/blush wine","",""
"4766","frankfurter","sausage","tropical fruit","oil"
"4767","spices","pickled vegetables","bottled water","misc. beverages"
"4768","zwieback","long life bakery product","dental care",""
"4769","chicken","tropical fruit","pip fruit","whipped/sour cream"
"4770","sugar","baking powder","instant coffee","soda"
"4771","frankfurter","curd cheese","",""
"4772","whole milk","whipped/sour cream","semi-finished bread","baking powder"
"4773","pickled vegetables","bottled water","soda","napkins"
"4774","frozen fish","brandy","",""
"4775","berries","whole milk","frozen meals","frozen dessert"
"4776","rolls/buns","soda","shopping bags",""
"4777","chicken","pork","other vegetables","whole milk"
"4778","butter","curd","margarine","pickled vegetables"
"4779","waffles","specialty chocolate","hygiene articles",""
"4780","onions","yogurt","ice cream",""
"4781","beef","root vegetables","herbs","packaged fruit/vegetables"
"4782","whipped/sour cream","cream cheese ","vinegar","oil"
"4783","margarine","soups","pickled vegetables","meat spreads"
"4784","canned fish","fruit/vegetable juice","candles",""
"4785","root vegetables","whole milk","semi-finished bread","cat food"
"4786","fruit/vegetable juice","canned beer","liquor (appetizer)","waffles"
"4787","hygiene articles","newspapers","shopping bags",""
"4788","soda","","",""
"4789","whole milk","soft cheese","rum",""
"4790","citrus fruit","butter","dessert","processed cheese"
"4791","white bread","pickled vegetables","seasonal products","dental care"
"4792","sausage","citrus fruit","whole milk","UHT-milk"
"4793","specialty cheese","frozen vegetables","tea","bottled water"
"4794","fruit/vegetable juice","","",""
"4795","sparkling wine","","",""
"4796","UHT-milk","cat food","coffee","bottled beer"
"4797","white wine","sparkling wine","shopping bags",""
"4798","soda","","",""
"4799","curd","cat food","soda",""
"4800","whole milk","processed cheese","mayonnaise","margarine"
"4801","mustard","cat food","coffee","bottled water"
"4802","frankfurter","pork","tropical fruit","root vegetables"
"4803","other vegetables","whole milk","curd","butter milk"
"4804","yogurt","frozen dessert","chewing gum",""
"4805","chocolate","","",""
"4806","other vegetables","processed cheese","tea",""
"4807","coffee","","",""
"4808","tropical fruit","other vegetables","butter milk","curd cheese"
"4809","sugar","fruit/vegetable juice","bottled beer","chocolate"
"4810","candles","","",""
"4811","beef","fish","yogurt","pastry"
"4812","soda","specialty chocolate","",""
"4813","whipped/sour cream","domestic eggs","bottled water","soda"
"4814","tropical fruit","pip fruit","other vegetables","butter milk"
"4815","yogurt","whipped/sour cream","UHT-milk","margarine"
"4816","sugar","waffles","",""
"4817","UHT-milk","canned beer","",""
"4818","root vegetables","semi-finished bread","specialty bar",""
"4819","frankfurter","sausage","butter","dessert"
"4820","spread cheese","white bread","pastry","coffee"
"4821","waffles","","",""
"4822","pip fruit","other vegetables","whole milk","butter milk"
"4823","yogurt","cream cheese ","pasta","fruit/vegetable juice"
"4824","dental care","hygiene articles","kitchen towels","photo/film"
"4825","pip fruit","soft cheese","tidbits",""
"4826","whipped/sour cream","","",""
"4827","canned beer","","",""
"4828","oil","","",""
"4829","white bread","bottled beer","",""
"4830","soda","specialty bar","",""
"4831","hygiene articles","","",""
"4832","bottled beer","","",""
"4833","dessert","yogurt","brown bread","pastry"
"4834","soda","long life bakery product","cake bar","light bulbs"
"4835","cereals","specialty chocolate","pot plants",""
"4836","canned beer","","",""
"4837","frankfurter","soda","shopping bags",""
"4838","sausage","other vegetables","cream cheese ","domestic eggs"
"4839","soda","","",""
"4840","UHT-milk","cream cheese ","spread cheese","rolls/buns"
"4841","misc. beverages","specialty chocolate","",""
"4842","baking powder","","",""
"4843","bottled water","soda","",""
"4844","meat","chicken","berries","yogurt"
"4845","whipped/sour cream","cream cheese ","mayonnaise","brown bread"
"4846","long life bakery product","","",""
"4847","bottled water","bottled beer","",""
"4848","pork","pip fruit","",""
"4849","tropical fruit","pip fruit","soda","white wine"
"4850","citrus fruit","pip fruit","root vegetables","other vegetables"
"4851","butter","UHT-milk","frozen vegetables","pastry"
"4852","margarine","sugar","soups","soda"
"4853","bottled beer","long life bakery product","softener",""
"4854","rolls/buns","soda","canned beer",""
"4855","meat spreads","specialty bar","",""
"4856","brown bread","bottled water","specialty bar",""
"4857","bottled water","","",""
"4858","frankfurter","UHT-milk","oil","bottled water"
"4859","canned beer","","",""
"4860","pork","citrus fruit","pip fruit","root vegetables"
"4861","other vegetables","dessert","butter milk","sliced cheese"
"4862","processed cheese","fruit/vegetable juice","chocolate","shopping bags"
"4863","yogurt","hard cheese","rolls/buns","sweet spreads"
"4864","soda","misc. beverages","specialty chocolate","hygiene articles"
"4865","napkins","","",""
"4866","soda","","",""
"4867","canned beer","","",""
"4868","pastry","","",""
"4869","citrus fruit","herbs","other vegetables","curd"
"4870","citrus fruit","","",""
"4871","sausage","domestic eggs","pastry","bottled water"
"4872","newspapers","","",""
"4873","decalcifier","","",""
"4874","sausage","ham","meat","butter"
"4875","UHT-milk","mayonnaise","baking powder","bottled water"
"4876","fruit/vegetable juice","","",""
"4877","beef","chocolate","",""
"4878","hamburger meat","ketchup","",""
"4879","mayonnaise","white bread","soda",""
"4880","fruit/vegetable juice","chewing gum","",""
"4881","finished products","pip fruit","other vegetables","domestic eggs"
"4882","margarine","bottled beer","newspapers",""
"4883","chicken","other vegetables","bottled beer","canned beer"
"4884","sparkling wine","chocolate","newspapers","pot plants"
"4885","whole milk","dessert","soda","bottled beer"
"4886","ham","root vegetables","other vegetables","dessert"
"4887","brown bread","pasta","margarine","bottled water"
"4888","fruit/vegetable juice","red/blush wine","",""
"4889","liquor","","",""
"4890","canned beer","","",""
"4891","dog food","cling film/bags","",""
"4892","citrus fruit","tropical fruit","yogurt","UHT-milk"
"4893","domestic eggs","mustard","canned fish",""
"4894","tropical fruit","dessert","yogurt","domestic eggs"
"4895","oil","fruit/vegetable juice","",""
"4896","beef","citrus fruit","root vegetables","bottled water"
"4897","soda","fruit/vegetable juice","pot plants",""
"4898","photo/film","","",""
"4899","chicken","butter","UHT-milk","spread cheese"
"4900","bottled beer","salty snack","waffles","chewing gum"
"4901","sausage","rolls/buns","misc. beverages","fruit/vegetable juice"
"4902","whole milk","","",""
"4903","meat","other vegetables","white bread","newspapers"
"4904","whole milk","rolls/buns","specialty chocolate","candy"
"4905","beef","root vegetables","whole milk","butter"
"4906","yogurt","soda","abrasive cleaner","newspapers"
"4907","ham","meat","berries","other vegetables"
"4908","whole milk","butter","yogurt","processed cheese"
"4909","specialty cheese","white bread","margarine","specialty bar"
"4910","sausage","meat","other vegetables","frozen vegetables"
"4911","rolls/buns","","",""
